Week Duration,Best_Parameters,Best_Score,Predict_R2_Score,,err+pct,position
2020-04-13 - 2020-04-27,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.333695648,0.850262252,,8.50%,2
2020-04-20 - 2020-05-04,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-38.3003802,0.919026514,,-16.30%,4
2020-04-27 - 2020-05-11,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-249.4118014,0.899064825,,-12.20%,6
2020-05-04 - 2020-05-18,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-85.39571135,0.883019061,,-7.70%,5
2020-05-11 - 2020-05-25,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-15.88760533,0.871753632,,-5.20%,5
2020-05-18 - 2020-06-01,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",-0.451004232,0.914208634,,26%,13
2020-05-25 - 2020-06-08,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.723970369,0.925187262,,17.50%,13
2020-06-01 - 2020-06-15,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.744150924,0.918972408,,7.90%,12
2020-06-08 - 2020-06-22,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.828321493,0.903961394,,17.90%,13
2020-06-15 - 2020-06-29,"{'colsample_bytree': 0.8, 'learning_rate': 0.08, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.814880811,0.635383851,,-6.70%,9
2020-06-22 - 2020-07-06,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.796359356,0.49110036,,-10.50%,10
2020-06-29 - 2020-07-13,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.58786622,0.640655421,,1.50%,1
2020-07-06 - 2020-07-20,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.438276109,0.739820852,,,
2020-07-13 - 2020-07-27,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.40634603,0.861981186,,,